City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tuatapere,NZ,2021-09-22 19:31:49,-46.1333,167.6833,277.49,78,5,2.45
68,Lahij,YE,2021-09-22 19:32:17,13.1667,44.5833,305.41,41,97,3.18
69,Busselton,AU,2021-09-22 19:32:18,-33.65,115.3333,285.42,91,0,4.4
70,Touros,BR,2021-09-22 19:32:18,-5.1989,-35.4608,302.65,75,51,4.4
71,Xuddur,SO,2021-09-22 19:32:18,4.1213,43.8894,297.8,68,100,9.46
72,Saskylakh,RU,2021-09-22 19:32:19,71.9167,114.0833,275.47,94,100,1.89
73,Abha,SA,2021-09-22 19:32:19,18.2164,42.5053,292.05,82,20,2.06
74,Promyshlennovskiy,RU,2021-09-22 19:32:19,55.4833,86.2,275.58,99,100,1.04
75,Vila Velha,BR,2021-09-22 19:32:20,-20.3297,-40.2925,295.12,64,90,8.75
76,Samana,DO,2021-09-22 19:30:15,19.2056,-69.3369,306.27,75,40,4.12
77,Aklavik,CA,2021-09-22 19:32:20,68.2191,-135.0107,275.61,77,100,6.04
78,Coari,BR,2021-09-22 19:32:21,-4.085,-63.1414,305.64,47,88,0.84
79,Silver City,US,2021-09-22 19:32:21,32.7701,-108.2803,299.21,29,1,2.24
80,Cabedelo,BR,2021-09-22 19:32:21,-6.9811,-34.8339,302.52,77,32,4.55
81,Yulara,AU,2021-09-22 19:32:22,-25.2406,130.9889,279.06,49,98,2.57
82,Luderitz,NA,2021-09-22 19:32:22,-26.6481,15.1594,290.0,57,0,1.12
83,Pacific Grove,US,2021-09-22 19:32:22,36.6177,-121.9166,306.82,84,1,1.79
84,Qaanaaq,GL,2021-09-22 19:32:23,77.484,-69.3632,262.85,63,11,3.08
85,Brae,GB,2021-09-22 19:32:23,60.3964,-1.353,284.1,80,100,9.05
86,Bathsheba,BB,2021-09-22 19:32:24,13.2167,-59.5167,305.49,62,20,6.17
87,Port Elizabeth,ZA,2021-09-22 19:32:24,-33.918,25.5701,289.31,88,40,7.2
88,Athabasca,CA,2021-09-22 19:32:24,54.7169,-113.2854,291.05,38,100,6.88
89,Vostok,RU,2021-09-22 19:32:25,46.4856,135.8833,282.56,98,100,2.04
90,Kitob,UZ,2021-09-22 19:32:25,39.0843,66.8332,292.47,23,0,1.75
91,Sai Buri,TH,2021-09-22 19:32:26,6.7013,101.6168,297.95,89,91,1.88
92,La Libertad,EC,2021-09-22 19:32:26,-2.2333,-80.9,295.59,78,87,4.41
93,Novyy Urgal,RU,2021-09-22 19:32:26,51.0736,132.5642,274.72,85,0,1.49
94,Bonavista,CA,2021-09-22 19:32:27,48.6499,-53.1147,298.15,60,100,2.42
95,Nouadhibou,MR,2021-09-22 19:32:27,20.931,-17.0347,294.97,83,0,10.35
96,Cidreira,BR,2021-09-22 19:32:27,-30.1811,-50.2056,290.61,68,16,6.79
97,Nizwa,OM,2021-09-22 19:32:28,22.9333,57.5333,306.37,30,90,1.5
